"nome","marca","referencia","categoria","subcategoria","genero","faixa_etaria","tipo_produto","preco","preco_pix","tamanhos_disponiveis","cores_disponiveis","descricao","link","imagem_url","em_estoque","em_liquidacao"
"Babuche Grendene Kids 23025 Disney Moments","Grendene Kids","2377653-BD523DMOMAZULESCURO","Baby Menina","Babuche","Unissex Baby","Baby","Babuche","63.99","60.79","17/18 | 19 | 20/21 | 22 | 23/24 | 25 | 26/27","BD523D/MOM AZUL ESCURO","Temático Disney O modelo traz o Mickey Mouse em alto-relevo no cabedal, com acabamento brilhante e detalhes coloridos que chamam atenção e encantam. O design reforça o apelo infantil e torna o calçado ainda mais atrativo para a criança. Conforto e leveza Produzida em material leve e macio, a babuche proporciona um caminhar suave e confortável, ideal para o uso prolongado. A estrutura com furos também favorece a ventilação interna, mantendo os pés arejados em dias quentes. Praticidade A alça t...","https://www.chinelarialeilaneneves.com.br/babuche-grendene-kids-23025-disn-moments-m-bd523d-mom-azul-escuro","https://chinelarialeilaneneves.cdn.magazord.com.br/img/2025/05/produto/8182/01-babuche-grendene-kids-23025-disn-moments-m.png?ims=290x290","true","false"
"Babuche Grendene Kids 23025 Disney Moments Minnie","Grendene Kids","2375108-BD529DMOMROSAMEDIO","Baby Menina","Babuche","Unissex Baby","Baby","Babuche","63.90","60.71","17/18 | 19 | 20/21 | 22 | 23/24 | 25 | 26/27","BD529D/MOM ROSA MEDIO","Conforto Feita em PVC de alta qualidade, a estrutura da babuche é macia e flexível, acompanhando os movimentos naturais dos pés. A palmilha em EVA ajuda a amortecer o impacto das pisadas, garantindo conforto mesmo durante longas horas de uso. Estilo O destaque da peça é a estampa da Minnie Mouse, presente na parte frontal do calçado com detalhes em alto-relevo. A combinação da cor rosa com os elementos da personagem transforma a babuche em um item desejado pelas pequenas fãs da Disney. Segura...","https://www.chinelarialeilaneneves.com.br/babuche-grendene-kids-23025-disn-moments-f-bd529d-mom-rosa-medio","https://chinelarialeilaneneves.cdn.magazord.com.br/img/2025/05/produto/7025/01-babuche-grendene-kids-23025-disney-moments-minnie.png?ims=290x290","true","false"
"Bota Coturno Molekinha 2126.526 Coração Berlim","Molekinha","2351341-15745BERLIMPRETO01","Baby Menina","Botas & Coturnos","Unissex Baby","Baby","Bota","119.90","113.91","17 | 18 | 19 | 20 | 21 | 22 | 23 | 24 | 25 | 26","100196 AVELA 1248 | 15745BERLIM PRETO 01 | 95843MAL M ROSA VELHO1180","Conforto Superior A bota possui forro interno acolchoado que proporciona maciez e bem-estar aos pés das crianças, permitindo o uso prolongado sem desconforto. Design Encantador O detalhe de fivela com broche de coração em pedraria no cano da bota confere um charme especial, tornando-a uma peça desejável para compor diversos looks infantis. Segurança ao Caminhar O solado emborrachado tratorado complementa o estilo moderno e oferece tração e estabilidade, garantindo passos firmes e seguros em d...","https://www.chinelarialeilaneneves.com.br/bota-molekinha-2126-526-berlim-baby-15745berlim-preto-01","https://chinelarialeilaneneves.cdn.magazord.com.br/img/2025/04/produto/2616/01-bota-coturno-molekinha-2126-526-coracao-berlim.png?ims=290x290","true","false"
"Bota Coturno Molekinha 2126.526 Coração Berlim","Molekinha","2351341-100196AVELA1248","Baby Menina","Botas & Coturnos","Unissex Baby","Baby","Bota","119.90","113.91","17 | 18 | 19 | 20 | 21 | 22 | 23 | 24 | 25 | 26","100196 AVELA 1248 | 15745BERLIM PRETO 01 | 95843MAL M ROSA VELHO1180","Conforto Superior A bota possui forro interno acolchoado que proporciona maciez e bem-estar aos pés das crianças, permitindo o uso prolongado sem desconforto. Design Encantador O detalhe de fivela com broche de coração em pedraria no cano da bota confere um charme especial, tornando-a uma peça desejável para compor diversos looks infantis. Segurança ao Caminhar O solado emborrachado tratorado complementa o estilo moderno e oferece tração e estabilidade, garantindo passos firmes e seguros em d...","https://www.chinelarialeilaneneves.com.br/bota-molekinha-2126-526-berlim-baby-100196-avela-1248","https://chinelarialeilaneneves.cdn.magazord.com.br/img/2025/04/produto/2625/10-bota-coturno-molekinha-2126-526-coracao-berlim.png?ims=290x290","true","false"
"Chinelo Baby Ipanema 27543 Hello Kitty","Ipanema","2583835-bz133azulrosa","Baby Menina","Chinelos","Unissex Baby","Baby","Chinelo","32.99","31.34","17/18 | 19 | 20/21 | 22 | 23/24 | 25","bz133 azul/rosa","Elástico traseiro e estampa delicada","https://www.chinelarialeilaneneves.com.br/chinelo-ipanema-27543-hello-kitt-bab-bz133-azul-rosa","https://chinelarialeilaneneves.cdn.magazord.com.br/img/2026/03/produto/14679/01-chinelo-baby-ipanema-27543-hello-kitt.png?ims=290x290","true","false"
"Chinelo Havaianas Baby Classics 25/26","Havaianas","2480373-rosaglow","Baby Menina","Chinelos","Unissex Baby","Baby","Chinelo","54.99","52.24","17/18 | 19 | 20 | 21 | 22 | 23/24 | 25/26","rosa glow","Conforto O Havaianas Baby Classics Minnie é perfeito para acompanhar os primeiros passos com muito conforto e estilo. Com design leve e macio, possui solado antiderrapante que garante segurança ao andar e tiras com elástico no calcanhar, proporcionando melhor ajuste ao pezinho da criança. Versátil Conta com modelo extremamente versátil: ideal para passeios, praia, piscina ou momentos de lazer em casa, facil de calçar trazendo autonomia desde os primeiro passos. Estampa O grande charme fica po...","https://www.chinelarialeilaneneves.com.br/chinelo-havaianas-n-b-d-classics-rosa-glow","https://chinelarialeilaneneves.cdn.magazord.com.br/img/2025/08/produto/11146/01-chinelo-havaianas-baby-classics-25-26.png?ims=290x290","true","false"
"Chinelo Havaianas Baby Disney Classics Minnie 24/25","Havaianas","2367297-N.B.DROSAVERMELHO","Baby Menina","Chinelos","Unissex Baby","Baby","Chinelo","54.99","52.24","19 | 20 | 21 | 22 | 25/26","N.B.D ROSA VERMELHO","Conforto Fabricado com borracha macia e palmilha anatômica, proporciona o máximo conforto durante o uso. As tiras são suaves e flexíveis, sem causar desconforto, permitindo que a criança use o chinelo por várias horas com bem-estar. Versatil Perfeito para diversas situações do dia a dia – seja em casa, em passeios, na escolinha ou até na praia. O chinelo é leve, fácil de limpar, resistente à água e de secagem rápida, tornando-se um aliado prático para os pais. Estampa A estampa da Baby Minnie...","https://www.chinelarialeilaneneves.com.br/chinelo-havaianas-baby-disney-classics-24-2-n-b-d-rosa-vermelho","https://chinelarialeilaneneves.cdn.magazord.com.br/img/2025/04/produto/6331/01-chinelo-havaianas-disney-classics-baby-mickey-24-25.png?ims=290x290","true","false"
"Chinelo Ipanema 25431 Baby Gatinha","Ipanema","2368267-AX725ROSAROSAC","Baby Menina","Chinelos","Unissex Baby","Baby","Chinelo","24.99","23.74","17/18 | 19 | 20/21 | 22 | 23/24 | 25","AX725 ROSA/ROSA/C","Conforto Desenvolvido com palmilha macia e material supermacio, o chinelo garante conforto desde o primeiro uso. As tiras são suaves e flexíveis, não apertam e não causam incômodo, permitindo que a criança use por longos períodos sem desconforto, elástico traseiro é um diferencial que proporciona mais estabilidade e segurança ao caminhar, mantendo o chinelo bem ajustado ao pé da criança. Versatil Ideal para ambientes internos e externos, esse chinelo pode ser usado em casa, em passeios, na es...","https://www.chinelarialeilaneneves.com.br/chinelo-ipanema-25431-baby-gatinha-ax725-rosa-rosa-c","https://chinelarialeilaneneves.cdn.magazord.com.br/img/2025/04/produto/6298/01-chinelo-ipanema-25431-baby-gatinha.png?ims=290x290","true","false"
"Chinelo Ipanema 26121 Anatômica Glitter","Ipanema","2351077-BL414ROSAGLITTE","Baby Menina","Chinelos","Unissex Baby","Baby","Chinelo","34.99","33.24","17/18 | 19 | 20/21 | 22 | 23/24 | 25","BL414 ROSA/GLITTE","Palmilha anatômica O modelo conta com palmilha que segue o contorno natural dos pés, o que proporciona maior apoio e sensação de bem-estar ao caminhar, mesmo durante longos períodos. Ajuste com tira traseira Além do visual encantador, a tira traseira garante que o chinelo fique bem fixo nos pés, oferecendo estabilidade extra — especialmente útil para crianças ou para quem busca mais firmeza ao andar. Estilo com identidade praiana O visual do chinelo é marcado por referências ao mar, como conc...","https://www.chinelarialeilaneneves.com.br/chinelo-ipanema-26121-anatomica-bl414-rosa-glitte","https://chinelarialeilaneneves.cdn.magazord.com.br/img/2025/04/produto/3655/01-chinelo-ipanema-26121-anatomica-glitter.png?ims=290x290","true","false"
"Chinelo Ipanema 26121 Anatômica Listras","Ipanema","2367107-BG414IANROSAROSL","Baby Menina","Chinelos","Unissex Baby","Baby","Chinelo","29.99","28.49","17/18 | 19 | 20/21 | 22 | 23/24 | 25","BG414I/AN ROSA/ROS/L","Conforto A palmilha anatômica oferece um encaixe perfeito aos pés, garantindo conforto extra, amortecimento e apoio durante o uso. Produzido com a qualidade tradicional da Ipanema, esse chinelo é feito em material durável, flexível e fácil de limpar. Versatil Com um visual versátil, pode ser usado em diversos momentos do banho à praia, passando por passeios e até dentro de casa. Seu solado antiderrapante garante mais segurança, e o design leve proporciona praticidade para as crianças calçarem...","https://www.chinelarialeilaneneves.com.br/chinelo-ipanema-26121-anatomica-f-bg414i-an-rosa-ros-l","https://chinelarialeilaneneves.cdn.magazord.com.br/img/2025/04/produto/6008/01-chinelo-ipanema-26121-anatomica-listras.png?ims=290x290","true","false"
