"nome","cor","codigo","tipo_produto","genero","preco","preco_antigo","desconto","tamanhos_disponiveis","tamanhos_com_estoque","em_estoque","descricao","complemento","link"
"Babuche Boaonda 1317.138 Nellie","9736 ROSA","2364076","Babuche","Unissex","89.90","0","0","34 | 35 | 36 | 37 | 38 | 39/40","37 (1un) | 38 (1un) | 39/40 (1un)","true","Leveza e conforto para o dia inteiro Com estrutura macia, a Babuche Boaonda Nellie &eacute; indicada para quem busca al&iacute;vio ao caminhar ou permanecer em p&eacute; por longos per&iacute;odos. A tecnologia Comfortech favorece o ajuste anat&ocirc;mico, melhorando a experi&ecirc;ncia de uso cont&iacute;nuo. Palmilha Scrapytech remov&iacute;vel A palmilha anat&ocirc;mica contribui com absor&ccedil;&atilde;o de impacto e se destaca por ser remov&iacute;vel, facilitando a higieniza&ccedil;&atild","Babuche","https://www.chinelarialeilaneneves.com.br/babuche-boaonda-1317-138-flamingo-fem-9736-rosa"
"Babuche Boaonda 1716 John","100-05 PRETO/PRETO-BCO","2361858","Babuche","Unissex","119.90","0","0","37/38 | 39/40 | 41/42 | 43/44","39/40 (7un) | 41/42 (4un)","true","Babuche Boaonda 1716 John - Babuche Unissex","Babuche","https://www.chinelarialeilaneneves.com.br/babuche-boa-onda-1716-john-100-05-preto-preto-bco"
"Babuche Boaonda 1716 John","011 classic blue/preto-br","2361858","Babuche","Unissex","119.90","0","0","37/38 | 39/40 | 41/42 | 43/44","39/40 (2un)","true","Babuche Boaonda 1716 John - Babuche Unissex","Babuche","https://www.chinelarialeilaneneves.com.br/babuche-boaonda-1716-john-011-classic-blue-preto-br"
"Babuche Boaonda 1913-102 Kin","102-001 KIN PRETO/PRETO","2364075","Babuche","Unissex","109.90","0","0","34 | 35 | 36 | 37 | 38 | 39","37 (1un)","true","Babuche Boaonda 1913-102 Kin - Babuche Unissex","Babuche","https://www.chinelarialeilaneneves.com.br/babuche-boaonda-1913-102-kin-102-001-kin-preto-preto"
"Babuche Boaonda 1913-102 Kin","102-004 KIN GOIABA/GOIABA","2364075","Babuche","Unissex","109.90","0","0","34 | 35 | 36 | 37 | 38 | 39","Sem estoque no momento","false","Babuche Boaonda 1913-102 Kin - Babuche Unissex","Babuche","https://www.chinelarialeilaneneves.com.br/babuche-boaonda-1913-102-kin-102-004-kin-goiaba-goiaba"
"Babuche Boaonda 1913.101 Kin","B 003 ROSE NUDE/GOIABA","2362533","Babuche","Unissex","109.90","0","0","34 | 35 | 36 | 37 | 38 | 39","Sem estoque no momento","false","Babuche Boaonda 1913.101 Kin - Babuche Unissex","Babuche","https://www.chinelarialeilaneneves.com.br/babuche-boaonda-1913-101-kin-b-003-rose-nude-goiaba"
"Babuche Boaonda 1913.101 Kin","B 005 CAPUCCINO/TANGERINA","2362533","Babuche","Unissex","109.90","0","0","34 | 35 | 36 | 37 | 38 | 39","38 (1un)","true","Babuche Boaonda 1913.101 Kin - Babuche Unissex","Babuche","https://www.chinelarialeilaneneves.com.br/babuche-boaonda-1913-101-kin-b-005-capuccino-tangerina"
"Babuche Boaonda 1913.101 Kin","B 007 ACAI/ROSE NUDE","2362533","Babuche","Unissex","109.90","0","0","34 | 35 | 36 | 37 | 38 | 39","Sem estoque no momento","false","Babuche Boaonda 1913.101 Kin - Babuche Unissex","Babuche","https://www.chinelarialeilaneneves.com.br/babuche-boaonda-1913-101-kin-b-007-acai-rose-nude"
"Babuche Boaonda 1913.101 Kin","009 SELVA/PRETO","2362533","Babuche","Unissex","109.90","0","0","34 | 35 | 36 | 37 | 38 | 39","Sem estoque no momento","false","Babuche Boaonda 1913.101 Kin - Babuche Unissex","Babuche","https://www.chinelarialeilaneneves.com.br/babuche-boaonda-1913-101-kin-009-selva-preto"
"Babuche Boaonda 1913.200 Kin","017 PITANGA/PITANGA","2362757","Babuche","Unissex","109.90","0","0","34 | 35 | 36 | 37 | 38 | 39","Sem estoque no momento","false","Conforto que acompanha sua rotina A Babuche Kin foi desenvolvida para quem valoriza o conforto durante o dia todo. A palmilha Scrapytech remov&iacute;vel garante encaixe ergon&ocirc;mico e absor&ccedil;&atilde;o de impacto, enquanto a tecnologia Comfortech ajuda a reduzir a sensa&ccedil;&atilde;o de cansa&ccedil;o mesmo ap&oacute;s longas horas em p&eacute; ou em movimento. Estrutura anat&ocirc;mica sem tecido Produzida em material emborrachado leve e sem tecido, a estrutura da babuche envolve o","Babuche","https://www.chinelarialeilaneneves.com.br/babuche-boaonda-1913-200-kin-017-pitanga-pitanga"
